Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2018-11-03,1,NI,GLN0332 GLN0,ALNT,ENOF,50.000,.000,.000
2018-11-03,1,NI,BOB1101,CNTP,ILRO,.000,1.273,2.925
2018-11-03,1,SI,CYD2201 CYD0,CTCT,ENOF,200.000,.000,.000
2018-11-03,1,NI,OKI2201 OKI0,CTCT,ENOF,38.000,.000,.000
2018-11-03,1,NI,PPI2201 PPI0,CTCT,ENOF,47.000,.000,.000
2018-11-03,1,SI,ROX1101 ROX0,CTCT,ENOF,39.010,.000,.000
2018-11-03,1,SI,ROX2201 ROX0,CTCT,ENOF,157.000,.000,.000
2018-11-03,1,NI,THI2201 THI1,CTCT,ENOF,83.000,.000,.000
2018-11-03,1,NI,THI2201 THI2,CTCT,ENOF,85.000,.000,.000
2018-11-03,1,NI,TWH0331 TRC1,CTCT,ENOF,46.000,.000,.000
2018-11-03,1,NI,WRK0331 TAA0,CTCT,ENOF,28.000,.000,.000
2018-11-03,1,NI,WRK2201 WRK0,CTCT,ENOF,120.000,.000,.000
2018-11-03,1,SI,CYD2201 CYD0,CTCT,PLRO,.000,.000,8.951
2018-11-03,1,SI,ROX1101 ROX0,CTCT,PLRO,.000,3.000,3.000
2018-11-03,1,SI,ROX2201 ROX0,CTCT,PLRO,.000,10.990,10.990
2018-11-03,1,NI,WGN0331,ERGY,ILRO,.000,25.626,55.000
2018-11-03,1,NI,HLY2201 HLY1,GENE,ENOF,50.000,.000,.000
2018-11-03,1,NI,HLY2201 HLY4,GENE,ENOF,230.000,.000,.000
2018-11-03,1,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2018-11-03,1,SI,TKA0111 TKA1,GENE,ENOF,21.000,.000,.000
2018-11-03,1,SI,TKB2201 TKB1,GENE,ENOF,130.000,.000,.000
2018-11-03,1,NI,TUI1101 KTW0,GENE,ENOF,31.000,.000,.000
2018-11-03,1,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2018-11-03,1,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
