Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-14,1,NI,GLN0332 GLN0,ALNT,ENOF,50.000,.000,.000
2019-06-14,1,SI,CYD2201 CYD0,CTCT,ENOF,306.000,.000,.000
2019-06-14,1,NI,OKI2201 OKI0,CTCT,ENOF,39.000,.000,.000
2019-06-14,1,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-14,1,SI,ROX1101 ROX0,CTCT,ENOF,40.000,.000,.000
2019-06-14,1,SI,ROX2201 ROX0,CTCT,ENOF,183.333,.000,.000
2019-06-14,1,NI,SFD2201 SPL0,CTCT,ENOF,160.000,.000,.000
2019-06-14,1,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-14,1,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-14,1,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-14,1,NI,WRK2201 WRK0,CTCT,ENOF,123.000,.000,.000
2019-06-14,1,SI,CYD2201 CYD0,CTCT,PLRO,.000,38.000,39.000
2019-06-14,1,SI,ROX1101 ROX0,CTCT,PLRO,.000,2.000,4.000
2019-06-14,1,SI,ROX2201 ROX0,CTCT,PLRO,.000,22.000,22.000
2019-06-14,1,NI,WGN0331,ERGY,ILRO,.000,50.000,55.000
2019-06-14,1,NI,HLY2201 HLY5,GENE,ENOF,300.000,.000,.000
2019-06-14,1,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-14,1,SI,TKA0111 TKA1,GENE,ENOF,22.000,.000,.000
2019-06-14,1,SI,TKB2201 TKB1,GENE,ENOF,125.000,.000,.000
2019-06-14,1,NI,TUI1101 KTW0,GENE,ENOF,7.700,.000,.000
2019-06-14,1,NI,TUI1101 PRI0,GENE,ENOF,13.800,.000,.000
2019-06-14,1,NI,TUI1101 TUI0,GENE,ENOF,18.500,.000,.000
2019-06-14,1,NI,RPO2201 RPO0,GENE,PLRO,.000,.002,.001
2019-06-14,1,SI,TKA0111 TKA1,GENE,PLRO,.000,.202,.502
2019-06-14,1,SI,TKB2201 TKB1,GENE,PLRO,.000,2.002,7.002
2019-06-14,1,NI,TUI1101 KTW0,GENE,PLRO,.000,.002,.001
2019-06-14,1,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,.001
2019-06-14,1,NI,TUI1101 TUI0,GENE,PLRO,.000,.301,1.500
2019-06-14,1,NI,MHO0331 MHO0,KING,ENOF,25.500,.000,.000
2019-06-14,1,SI,AVI2201 AVI0,MERI,ENOF,53.254,.000,.000
2019-06-14,1,SI,BEN2202 BEN0,MERI,ENOF,245.000,.000,.000
2019-06-14,1,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-14,1,SI,OHA2201 OHA0,MERI,ENOF,46.567,.000,.000
2019-06-14,1,SI,OHB2201 OHB0,MERI,ENOF,50.491,.000,.000
2019-06-14,1,SI,OHC2201 OHC0,MERI,ENOF,50.491,.000,.000
2019-06-14,1,SI,WTK0111 WTK0,MERI,ENOF,90.000,.000,.000
2019-06-14,1,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-14,1,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-14,1,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-14,1,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-14,1,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-14,1,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-14,1,SI,AVI2201 AVI0,MERI,TWRO,.000,7.868,10.490
2019-06-14,1,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-14,1,SI,OHA2201 OHA0,MERI,TWRO,.000,6.984,9.314
2019-06-14,1,SI,OHB2201 OHB0,MERI,TWRO,.000,13.885,10.098
2019-06-14,1,SI,OHC2201 OHC0,MERI,TWRO,.000,10.406,10.098
2019-06-14,1,NI,ARA2201 ARA0,MRPL,ENOF,22.000,.000,.000
2019-06-14,1,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
2019-06-14,1,NI,KAW1101 KAG0,MRPL,ENOF,107.000,.000,.000
2019-06-14,1,NI,KPO1101 KPO0,MRPL,ENOF,40.000,.000,.000
