"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2004-04-23,"2004w17","Final",32.1,0.633,50.74,43.4,0,7.5,7.9,59.6,67.5,67.5,18.7,18.4024605637215,48.6,0,12.7,54.7,59.8,114.5,114.5,13.9,13.8088821233251,59.6
2004-04-30,"2004w18","Final",32.65,0.626,52.16,45.8,0,7.3,7.7,58.3,66,66,15.9,18.4027466115585,52.2,0,12.6,54.5,58.5,113,113,11.8,13.7910739707117,58.3
2004-05-07,"2004w19","Final",33.38,0.63,52.94,47.8,0,7.8,8.2,62.2,70.3,70.3,18.8,18.4030326593954,53.3,0,13,55,62.3,117.3,117.3,13.8,13.7732658180982,62.1
2004-05-14,"2004w20","Final",34.41,0.609,56.55,48.1,0,8.3,8.7,66.2,74.9,74.9,20.5,18.4033187072324,56.4,0,13.5,55.5,66.4,121.9,121.9,14.2,13.7554576654847,66.2
2004-05-21,"2004w21","Final",35.77,0.602,59.4,46.5,0,8.3,8.6,65.7,74.3,74.3,17.9,18.4036047550694,54.3,0,13.5,55.4,65.9,121.3,121.3,12.6,13.7376495128712,65.7
2004-05-28,"2004w22","Final",35.03,0.618,56.68,45.7,0,8.5,8.9,68,76.9,76.9,19.9,18.4038908029064,53.7,0,13.8,55.7,68.2,123.9,123.9,11.8,13.7198413602577,68
2004-06-04,"2004w23","Final",35.22,0.628,56.13,44.3,0,8.5,8.9,67.7,76.6,76.6,21.3,18.4041768507434,49.4,0,13.7,55.7,67.9,123.6,123.6,13.6,13.7020332076442,67.7
2004-06-11,"2004w24","Final",33.52,0.629,53.3,44.5,0,8.2,8.5,65.1,73.6,73.6,19.4,18.4044628985803,48.2,0,13.4,55.4,65.2,120.6,120.6,11.5,13.6842250550307,65.1
2004-06-18,"2004w25","Final",33.31,0.627,53.12,44.5,0,8,8.3,63.3,71.6,71.6,19,18.4047489464173,47.7,0,13.2,55.1,63.5,118.6,118.6,14.1,13.6664169024173,63.3
2004-06-25,"2004w26","Final",33.66,0.63,53.45,43.2,0,7.8,8.1,61.8,69.9,69.9,17.3,18.4027425192898,44.6,0,13,55,61.9,116.9,116.9,13.7,13.6421918559243,61.8
2004-07-02,"2004w27","Final",32.19,0.637,50.51,45.8,0,7.6,8,60.5,68.5,68.5,16.1,18.4007360921622,47.3,0,12.7,54.7,59.8,114.5,114.5,12.2,13.6179668094314,60.5
2004-07-09,"2004w28","Final",34.41,0.652,52.78,45.8,0,7.7,8,61.1,69.2,69.2,17.9,18.3987296650347,48.3,0,12.5,54.5,58.4,112.9,112.9,13.8,13.5937417629384,61.2
2004-07-16,"2004w29","Final",34.44,0.656,52.52,47.7,0,7.9,8.2,62.7,70.9,70.9,16.9,18.3967232379072,48.9,0,12.7,54.6,59.3,113.9,113.9,12,13.5695167164454,62.7
2004-07-23,"2004w30","Final",34.72,0.65,53.44,51,0,8,8.3,63.4,71.8,71.8,17.6,18.3947168107796,51.3,0,12.9,54.8,60.9,115.8,115.8,12.7,13.5452916699525,63.5
2004-07-30,"2004w31","Final",35.24,0.632,55.75,51.5,0,8.3,8.6,66,74.6,74.6,18.2,18.3927103836521,53.1,0,13.1,55.1,63,118,118,14,13.5210666234595,66
2004-08-06,"2004w32","Final",37.04,0.642,57.74,51,0,8.6,9,68.6,77.6,77.6,17.6,18.3907039565246,53.2,0,13.4,55.4,65.2,120.6,120.6,14,13.4968415769666,68.6
2004-08-13,"2004w33","Final",38.19,0.654,58.39,52,0,8.8,9.1,69.8,78.9,78.9,18.3,18.388697529397,53.9,0,13.5,55.5,66.4,121.9,121.9,13.3,13.4726165304736,69.8
2004-08-20,"2004w34","Final",39.81,0.666,59.77,52,0,8.8,9.1,69.8,78.9,78.9,18.8,18.3830314285736,52.8,0,13.5,55.5,66.4,121.9,121.9,13.2,13.4425749487846,69.8
2004-08-27,"2004w35","Final",39.6,0.656,60.34,50.9,0,8.8,9.1,69.8,78.9,78.9,17.7,18.3773653277503,50.1,0,13.5,55.5,66.4,121.9,121.9,12.5,13.4125333670956,69.8
2004-09-03,"2004w36","Final",36.46,0.652,55.91,52.9,0,8.8,9.1,69.9,79,79,17.9,18.3716992269269,49.3,0,13.5,55.5,66.3,121.8,121.8,13.5,13.3824917854066,69.9
2004-09-10,"2004w37","Final",34.96,0.65,53.79,53.3,0,8.7,9,68.9,77.9,77.9,18,18.3660331261035,49.9,0,13.3,55.3,64.6,119.9,119.9,14.6,13.3524502037176,68.9
2004-09-17,"2004w38","Final",34.57,0.659,52.45,54.7,0,8.7,9,68.9,77.9,77.9,16,18.3603670252802,51.6,0,13.3,55.3,64.6,119.9,119.9,15.3,13.3224086220285,68.9
2004-09-24,"2004w39","Final",35.28,0.663,53.21,55.1,0,8.7,9,69,78,78,15.7,18.3547009244568,52.7,0,13.3,55.3,64.7,120,120,14.8,13.2923670403395,69
2004-10-01,"2004w40","Final",37.26,0.671,55.57,53.5,0,9.1,9.4,72.2,81.6,81.6,17.4,18.3490348236334,53.5,0,13.4,55.4,65.5,120.9,120.9,13.8,13.2623254586505,72.2
2004-10-08,"2004w41","Final",37.8,0.673,56.14,57.3,0,9.1,9.5,72.4,81.9,81.9,17.3,18.3433687228101,55.4,0,13.4,55.4,65.5,120.9,120.9,12.8,13.2322838769615,72.4
2004-10-15,"2004w42","Final",37.72,0.68,55.47,56.8,0,9.1,9.5,72.8,82.3,82.3,19.3,18.3334551968966,53.2,0,13.6,55.6,66.8,122.3,122.3,13.3,13.1983291650355,72.8
2004-10-22,"2004w43","Final",37.54,0.688,54.58,55.9,0,9.4,9.7,74.7,84.5,84.5,17.5,18.323541670983,53.6,0,13.9,55.9,69.2,125,125,13.8,13.1643744531094,74.8
2004-10-29,"2004w44","Final",37.38,0.692,54.03,52.9,0,9.3,9.7,74.2,83.9,83.9,17.5,18.3136281450695,51.8,0,13.7,55.7,67.7,123.3,123.3,14.4,13.1304197411834,74.2
2004-11-05,"2004w45","Final",36.66,0.688,53.31,53.3,0,9.3,9.7,74.2,83.9,83.9,18.3,18.303714619156,51.3,0,13.5,55.5,66.4,121.9,121.9,12.8,13.0964650292574,74.2
2004-11-12,"2004w46","Final",34.98,0.69,50.71,51.9,0,9.2,9.6,73.5,83,83,20.6,18.2938010932425,49,0,13.4,55.4,65.6,121,121,13.8,13.0625103173314,73.4
2004-11-19,"2004w47","Final",32.97,0.701,47.01,53.1,0,9.1,9.4,72.2,81.6,81.6,18.8,18.283887567329,50.4,0,13.3,55.3,64.4,119.6,119.6,13,13.0285556054053,72.2
2004-11-26,"2004w48","Final",33.72,0.712,47.37,49.8,0,8.9,9.3,70.9,80.2,80.2,19,18.2739740414155,48.1,0,13.1,55.1,63.2,118.3,118.3,14.2,12.9946008934793,70.9
2004-12-03,"2004w49","Final",35.46,0.716,49.53,45.2,0,9.1,9.4,72.2,81.6,81.6,19.1,18.264060515502,42.3,0,13.4,55.4,65.2,120.6,120.6,14.9,12.9606461815533,72.2
2004-12-10,"2004w50","Final",33.23,0.717,46.35,47.6,0,8.4,8.7,66.7,75.5,75.5,16.9,18.2515141594805,42.8,0,12.7,54.6,59.3,113.9,113.9,11.2,12.9215441644605,66.8
2004-12-17,"2004w51","Final",33.94,0.71,47.81,48.2,0,8.1,8.5,64.4,72.9,72.9,19.3,18.238967803459,43.1,0,12.2,54.2,55.7,109.9,109.9,13.4,12.8824421473677,64.4
2004-12-24,"2004w52","Final",35.95,0.713,50.46,44.1,0,8.4,8.8,66.9,75.7,75.7,19.3,18.2264214474374,41.5,0,12.5,54.4,57.7,112.1,112.1,14.9,12.8433401302749,66.9
2004-12-31,"2004w53","Final",33.38,0.718,46.51,46,0,8.5,8.8,67.4,76.2,76.2,19.2,18.2138750914159,42.5,0,12.5,54.5,58,112.5,112.5,14.9,12.8042381131821,67.4
2005-01-07,"2005w01","Final",34.44,0.7,49.18,47.4,0,8.2,8.5,65,73.5,73.5,20.4,18.2013287353944,45,0,12.3,54.2,56.2,110.5,110.5,14.3,12.7651360960893,65
2005-01-14,"2005w02","Final",37.01,0.699,52.94,47.7,0,8.5,8.9,67.7,76.6,76.6,21.8,18.1887823793729,48.4,0,12.6,54.6,59,113.6,113.6,16.5,12.7260340789965,67.7
2005-01-21,"2005w03","Final",39.32,0.7,56.19,49.6,0,8.7,9,68.9,77.9,77.9,21.5,18.1762360233514,49.1,0,13,55,62.2,117.2,117.2,17.2,12.6869320619037,68.9
2005-01-28,"2005w04","Final",40.35,0.714,56.5,48.7,0,8.7,9,68.9,77.9,77.9,21.1,18.1636896673299,48.5,0,13.1,55.1,63.1,118.2,118.2,14.7,12.6478300448109,68.9
2005-02-04,"2005w05","Final",38.79,0.711,54.53,49.1,0,8.7,9,68.9,77.9,77.9,19.3,18.1254043018216,49.1,0,13.2,55.2,63.7,118.9,118.9,14.6,12.6012841263766,68.9
2005-02-11,"2005w06","Final",38.2,0.705,54.21,48.7,0,8.5,8.8,67.4,76.2,76.2,18.6,18.0871189363132,51.7,0,13.1,55,62.6,117.6,117.6,14,12.5547382079423,67.4
2005-02-18,"2005w07","Final",39.4,0.715,55.09,51.7,0,8.4,8.7,66.5,75.2,75.2,17.3,18.0488335708049,54.7,0,12.9,54.9,61.6,116.5,116.5,12.4,12.508192289508,66.5
2005-02-25,"2005w08","Final",41,0.724,56.65,55.8,0,8.5,8.9,68,76.9,76.9,19.3,18.0105482052965,54.7,0,13.2,55.2,64,119.2,119.2,12.3,12.4616463710737,68
2005-03-04,"2005w09","Final",42.9,0.726,59.11,55.8,0,8.6,9,68.8,77.8,77.8,17.1,17.9722628397881,55.7,0,13.4,55.3,64.9,120.2,120.2,10.2,12.4151004526395,68.8
2005-03-11,"2005w10","Final",44.66,0.737,60.59,57.8,0,9.3,9.6,73.8,83.5,83.5,18.1,17.9339774742798,54.5,0,13.5,55.5,66.4,121.9,121.9,11.7,12.3685545342052,73.9
2005-03-18,"2005w11","Final",46.21,0.741,62.36,58.6,0,9.7,10,76.9,86.9,86.9,21.1,17.8956921087714,55.3,0,13.6,55.5,66.6,122.2,122.2,10.9,12.3220086157709,76.9
2005-03-25,"2005w12","Final",47.58,0.73,65.16,60.8,0,9.4,9.8,75,84.8,84.8,17.2,17.8574067432631,57.4,0,13.5,55.5,66.3,121.8,121.8,11.8,12.2754626973366,75
2005-04-01,"2005w13","Final",46.77,0.709,65.95,63.5,0,9.8,10.1,77.7,87.8,87.8,18.9,17.7972246766064,61.2,0,13.9,55.8,68.9,124.7,124.7,12.7,12.2469129322394,77.7
